"Order Number","Order Type","Asset Type","Fiat Type","Total Price","Price","Quantity","Exchange rate","Maker Fee","Maker Fee Rate","Taker Fee","Taker Fee Rate","Couterparty","Status","Created Time"
"22670534300345892864","Sell","USDT","USD","220.0000000000000000","0.9990000000000000","220.2300000000000000","0.00","","","0.05000000","0.00000000","13_cash_13","Completed","2024-09-20 19:50:39"
"22672641686576504832","Sell","USDT","USD","50.0000000000000000","0.9990000000000000","50.0600000000000000","0.00","","","0.05000000","0.00000000","wise-Pikcaboo","Completed","2024-09-26 15:24:39"
"22674297889534586880","Sell","USDT","USD","18.6600000000000000","0.9510000000000000","19.6300000000000000","0.00","","","0.05000000","0.00000000","FAST-SAFE-TRUST-GOOD","Completed","2024-10-01 05:05:48"
